node_id,node_type,label
NDT-zk3lhx,domain,Administrative Accessibility
NDT-wcjtfz,domain,Performance Evaluation
NDT-znf2v5,domain,Organizational Clarity
NDT-xyrxwd,domain,Sensory Environment
NDT-6zfsxi,domain,Governance and Justice
NDT-dxjmnq,domain,Support Infrastructure
NDI-2cdbgj,indicator,Administrative processes are simplified and accessible
NDI-hgbbzn,indicator,Performance evaluation is based on output rather than style
NDI-nl3yam,indicator,Roles and responsibilities are clearly and explicitly defined
NDI-ztoto2,indicator,Workplace noise is actively managed and minimized
NDI-eohpdo,indicator,Manager transitions are treated as significant environmental changes
NDI-rfdub6,indicator,Coaching and support are available without requiring neurodivergent disclosure
NDI-fkbdsm,indicator,Investigations and disciplinary processes demonstrate procedural fairness
